Rk,Player,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
1,Philip Rivers ,SD ,QB,357,541,66.0,33.8,"4,710",8.7,294.4,30,13,234,43.3,59T ,65,14,38,101.8
2,Peyton Manning ,IND ,QB,450,679,66.3,42.4,"4,700",6.9,293.8,33,17,253,37.3,73T ,43,9,16,91.9
3,Drew Brees ,NO ,QB,448,658,68.1,41.1,"4,620",7.0,288.8,33,22,236,35.9,80T ,47,10,25,90.9
4,Matt Schaub ,HOU ,QB,365,574,63.6,35.9,"4,370",7.6,273.1,24,12,222,38.7,60,59,9,32,92.0
5,Eli Manning ,NYG ,QB,339,539,62.9,33.7,"4,002",7.4,250.1,31,25,192,35.6,92T ,57,7,16,85.3
6,Carson Palmer ,CIN ,QB,362,586,61.8,36.6,"3,970",6.8,248.1,26,20,205,35.0,78T ,45,9,26,82.4
7,Aaron Rodgers ,GB ,QB,312,475,65.7,31.7,"3,922",8.3,261.5,28,11,183,38.5,86T ,54,10,31,101.2
8,Tom Brady ,NE ,QB,324,492,65.9,30.8,"3,900",7.9,243.8,36,4,189,38.4,79T ,53,9,25,111.0
9,Matt Ryan ,ATL ,QB,357,571,62.5,35.7,"3,705",6.5,231.6,28,9,199,34.9,46,32,6,23,91.0
10,Kyle Orton ,DEN ,QB,293,498,58.8,38.3,"3,653",7.3,281.0,20,9,173,34.7,71,52,11,34,87.5
11,Joe Flacco ,BAL ,QB,306,489,62.6,30.6,"3,622",7.4,226.4,25,10,174,35.6,67,40,7,40,93.6
12,Sam Bradford ,STL ,QB,354,590,60.0,36.9,"3,512",6.0,219.5,18,15,179,30.3,49,36,4,34,76.5
13,Josh Freeman ,TB ,QB,291,474,61.4,29.6,"3,451",7.3,215.7,25,6,166,35.0,64,48,10,28,95.9
14,Donovan McNabb ,WAS ,QB,275,472,58.3,36.3,"3,377",7.2,259.8,14,15,152,32.2,76,41,11,37,77.1
15,Chad Henne ,MIA ,QB,301,490,61.4,32.7,"3,301",6.7,220.1,15,19,168,34.3,57T ,37,4,30,75.4
16,Mark Sanchez ,NYJ ,QB,278,507,54.8,31.7,"3,291",6.5,205.7,17,13,162,32.0,74T ,43,10,27,75.3
17,Jay Cutler ,CHI ,QB,261,432,60.4,28.8,"3,274",7.6,218.3,23,16,159,36.8,89T ,41,6,52,86.3
18,Ben Roethlisberger ,PIT ,QB,240,389,61.7,32.4,"3,200",8.2,266.7,17,5,149,38.3,56T ,52,8,32,97.0
19,Matt Cassel ,KC ,QB,262,450,58.2,30.0,"3,116",6.9,207.7,27,7,163,36.2,75T ,40,4,26,93.0
20,Michael Vick ,PHI ,QB,233,372,62.6,31.0,"3,018",8.1,251.5,21,6,131,35.2,91T ,48,12,34,100.2
21,Matt Hasselbeck ,SEA ,QB,266,444,59.9,31.7,"3,001",6.8,214.4,12,17,136,30.6,87T ,33,10,29,73.2
22,Ryan Fitzpatrick ,BUF ,QB,255,441,57.8,33.9,"3,000",6.8,230.8,23,15,151,34.2,65T ,39,8,24,81.8
23,David Garrard ,JAC ,QB,236,366,64.5,26.1,"2,734",7.5,195.3,23,15,130,35.5,75,39,5,33,90.8
24,Shaun Hill ,DET ,QB,257,416,61.8,37.8,"2,686",6.5,244.2,16,12,133,32.0,75T ,32,3,17,81.3
25,Brett Favre ,MIN ,QB,217,358,60.6,27.5,"2,509",7.0,193.0,11,19,114,31.8,53T ,38,1,22,69.9
26,Jason Campbell ,OAK ,QB,194,329,59.0,25.3,"2,387",7.3,183.6,13,8,108,32.8,73T ,29,8,33,84.5
27,Alex Smith ,SF ,QB,204,342,59.6,31.1,"2,370",6.9,215.5,14,10,103,30.1,62T ,30,7,25,82.1
